platform_rank,platform,platform_full,genre,genre_label,recorded_sales_millions,genre_share_within_platform,genre_share_of_all_recorded_sales,platform_recorded_sales_millions,platform_share_of_all_recorded_sales,sales_rows,total_rows,sales_coverage_percent,x0,x1,y0,y1,parent_x0,parent_x1,parent_y0,parent_y1,cell_area
9,PSP,PlayStation Portable,Racing,,33.47,13.65,0.51,245.29,3.71,1340,1807,74.2,49.8213,58.6143,69.0824,74.8446,41.285,64.6566,69.0824,84.97,50.6668
9,PSP,PlayStation Portable,Role-Playing,,23.0,9.38,0.35,245.29,3.71,1340,1807,74.2,58.6143,64.6566,69.0824,74.8446,41.285,64.6566,69.0824,84.97,34.8173
9,PSP,PlayStation Portable,Shooter,,19.49,7.95,0.3,245.29,3.71,1340,1807,74.2,49.8213,55.3365,74.8446,80.1941,41.285,64.6566,69.0824,84.97,29.5039
9,PSP,PlayStation Portable,Adventure,,17.4,7.09,0.26,245.29,3.71,1340,1807,74.2,49.8213,55.3365,80.1941,84.97,41.285,64.6566,69.0824,84.97,26.3401
9,PSP,PlayStation Portable,Platform,,15.94,6.5,0.24,245.29,3.71,1340,1807,74.2,55.3365,60.5511,74.8446,79.472,41.285,64.6566,69.0824,84.97,24.1299
9,PSP,PlayStation Portable,Fighting,,12.55,5.12,0.19,245.29,3.71,1340,1807,74.2,60.5511,64.6566,74.8446,79.472,41.285,64.6566,69.0824,84.97,18.9981
9,PSP,PlayStation Portable,Misc,,11.54,4.7,0.17,245.29,3.71,1340,1807,74.2,55.3365,58.5139,79.472,84.97,41.285,64.6566,69.0824,84.97,17.4692
9,PSP,PlayStation Portable,Strategy,,8.82,3.6,0.13,245.29,3.71,1340,1807,74.2,58.5139,62.5283,79.472,82.7979,41.285,64.6566,69.0824,84.97,13.3517
9,PSP,PlayStation Portable,Simulation,,5.76,2.35,0.09,245.29,3.71,1340,1807,74.2,58.5139,62.5283,82.7979,84.97,41.285,64.6566,69.0824,84.97,8.7195
9,PSP,PlayStation Portable,Puzzle,,4.61,1.88,0.07,245.29,3.71,1340,1807,74.2,62.5283,64.6566,79.472,82.7509,41.285,64.6566,69.0824,84.97,6.9786
9,PSP,PlayStation Portable,Visual Novel,,2.12,0.86,0.03,245.29,3.71,1340,1807,74.2,62.5283,64.6566,82.7509,84.2587,41.285,64.6566,69.0824,84.97,3.2092
9,PSP,PlayStation Portable,Party,,0.47,0.19,0.01,245.29,3.71,1340,1807,74.2,62.5283,63.5286,84.2587,84.97,41.285,64.6566,69.0824,84.97,0.7115
9,PSP,PlayStation Portable,Music,,0.41,0.17,0.01,245.29,3.71,1340,1807,74.2,63.5286,64.4012,84.2587,84.97,41.285,64.6566,69.0824,84.97,0.6207
